id,active,name,type,application,amount,times_to_run,limit_adjustments,period_days,max_amount_per_period,taxes,roles,data_service,upload_in_kilobits,download_in_kilobits,technology_code,usage_based_billing_policy_id,unit_quantity_in_gigabytes,general_ledger_code_id,tax_exemption_amount,voice_service,unlimited_local_minutes,unlimited_long_distance_minutes,local_minutes,local_minutes_amount,long_distance_minutes,long_distance_minutes_amount,first_interval_in_seconds,sub_interval_in_seconds,local_prefixes,inbound_toll_free_rate,billing_frequency_in_months,account_groups
37,True,2014 WN DIA / WAN 512Kbps,recurring,debit,69.95,0,False,0,0,[],[],True,512,512,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
38,True,2014 WN DIA / WAN 5Mbps,recurring,debit,249.95,0,False,0,0,[],[],True,5000,5000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
39,True,2015 AERO BDSL 14 Mbps/  2 Mbps Double Speed Offer,recurring,debit,59,0,False,0,0,[],[],True,2000,2000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
40,True,2015 Giga1 Business  100/25 Mbps,recurring,debit,179,0,False,0,0,[],[],True,25000,25000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
41,True,2015 Giga1 Business  15/2 Mbps,recurring,debit,99,0,False,0,0,[],[],True,2000,2000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
42,True,2015 Giga1 Business  250/50 Mbps,recurring,debit,249,0,False,0,0,[],[],True,50000,50000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
43,True,2015 Giga1 Business  50/10 Mbps,recurring,debit,149,0,False,0,0,[],[],True,10000,10000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
44,True,2015 Giga1 Business  500/75 Mbps,recurring,debit,599,0,False,0,0,[],[],True,75000,75000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
45,True,2015 Giga1 Business 25/5 Mbps,recurring,debit,129,0,False,0,0,[],[],True,5000,5000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
46,True,2015 Giga1 Dedicated Internet 10 Mbps,recurring,debit,0,0,False,0,0,[],[],True,10000,10000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
47,True,2015 Giga1 Dedicated Internet 100 Mbps,recurring,debit,899,0,False,0,0,[],[],True,100000,100000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
48,True,2015 Giga1 Dedicated Internet 25 Mbps,recurring,debit,299,0,False,0,0,[],[],True,25000,25000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
49,True,2015 Giga1 Dedicated Internet 50 Mbps,recurring,debit,499,0,False,0,0,[],[],True,50000,50000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
50,True,2015 Giga1 Dedicated Internet 500 Mbps,recurring,debit,0,0,False,0,0,[],[],True,500000,500000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
